Эх,СӨХ нэр,Дүүрэг,Хороо,Шалтгаан
dir,Хувиараа,Сонгинохайрхан,19-р хороо,directory дотор аль хэдийн бий
dir,Хувиараа,Сонгинохайрхан,19-р хороо,directory дотор аль хэдийн бий
dir,Байхгүй,Сонгинохайрхан,20-р хороо,directory дотор аль хэдийн бий
dir,Байхгүй,Сонгинохайрхан,20-р хороо,directory дотор аль хэдийн бий
dir,Байхгүй,Сонгинохайрхан,20-р хороо,directory дотор аль хэдийн бий
dir,Байхгүй,Сонгинохайрхан,20-р хороо,directory дотор аль хэдийн бий
dir,"Цоглог"" СӨХ",Баянгол,25-р хороо,directory дотор аль хэдийн бий
dir,"Баянбулаг-10"" СӨХ",Баянгол,25-р хороо,directory дотор аль хэдийн бий
dir,Дэвшил-6,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Дэвшил-6,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Дэвшил-6,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Дэвшил-6,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Уурхайчин,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Уурхайчин,Налайх,2-р хороо,directory дотор аль хэдийн бий
dir,Уурхайчин,Налайх,2-р хороо,directory дотор аль хэдийн бий
